HGNC.ID	ENSG	Symbol
HGNC:5	ENSG00000121410	A1BG
HGNC:37133	ENSG00000268895	A1BG-AS1
HGNC:37133	ENSG00000268895	NCRNA00181
HGNC:37133	ENSG00000268895	A1BGAS
HGNC:37133	ENSG00000268895	A1BG-AS
HGNC:37133	ENSG00000268895	FLJ23569
HGNC:24086	ENSG00000148584	A1CF
HGNC:24086	ENSG00000148584	ACF
HGNC:24086	ENSG00000148584	ASP
HGNC:24086	ENSG00000148584	ACF64
HGNC:24086	ENSG00000148584	ACF65
HGNC:24086	ENSG00000148584	APOBEC1CF
HGNC:6		A1S9T
HGNC:7	ENSG00000175899	A2M
HGNC:7	ENSG00000175899	FWP007
HGNC:7	ENSG00000175899	S863-7
HGNC:7	ENSG00000175899	CPAMD5
HGNC:27057	ENSG00000245105	A2M-AS1
HGNC:23336	ENSG00000166535	A2ML1
HGNC:23336	ENSG00000166535	CPAMD9
HGNC:23336	ENSG00000166535	FLJ25179
HGNC:23336	ENSG00000166535	p170
HGNC:41022	ENSG00000256661	A2ML1-AS1
HGNC:41523	ENSG00000256904	A2ML1-AS2
HGNC:8	ENSG00000256069	A2MP1
HGNC:8	ENSG00000256069	A2MP
HGNC:9		A2MR
HGNC:10		A2MRAP
HGNC:30005	ENSG00000184389	A3GALT2
HGNC:30005	ENSG00000184389	A3GALT2P
HGNC:30005	ENSG00000184389	IGBS3S
HGNC:30005	ENSG00000184389	IGB3S
HGNC:18149	ENSG00000128274	A4GALT
HGNC:18149	ENSG00000128274	P1
HGNC:18149	ENSG00000128274	A14GALT
HGNC:18149	ENSG00000128274	Gb3S
HGNC:18149	ENSG00000128274	P(k)
HGNC:17968	ENSG00000118017	A4GNT
HGNC:17968	ENSG00000118017	alpha4GnT
HGNC:1		A12M1
HGNC:2		A12M2
HGNC:3		A12M3
HGNC:4		A12M4
HGNC:11		AA
HGNC:13666	ENSG00000094914	AAAS
HGNC:12		AABT
HGNC:13		AAC1
HGNC:14		AAC2
HGNC:21298	ENSG00000081760	AACS
HGNC:21298	ENSG00000081760	FLJ12389
HGNC:21298	ENSG00000081760	SUR-5
HGNC:21298	ENSG00000081760	ACSF1
HGNC:18226	ENSG00000250420	AACSP1
HGNC:18226	ENSG00000250420	AACSL
HGNC:13792		AACT
HGNC:17	ENSG00000114771	AADAC
HGNC:17	ENSG00000114771	DAC
HGNC:17	ENSG00000114771	CES5A1
HGNC:24427	ENSG00000197953	AADACL2
HGNC:24427	ENSG00000197953	MGC72001
HGNC:50301	ENSG00000242908	AADACL2-AS1
HGNC:32037	ENSG00000188984	AADACL3
HGNC:32037	ENSG00000188984	OTTHUMG00000001887
HGNC:32038	ENSG00000204518	AADACL4
HGNC:32038	ENSG00000204518	OTTHUMG00000001889
HGNC:50305	ENSG00000240602	AADACP1
HGNC:17929	ENSG00000109576	AADAT
HGNC:17929	ENSG00000109576	KATII
HGNC:17929	ENSG00000109576	KAT2
HGNC:17929	ENSG00000109576	KYAT2
HGNC:25662	ENSG00000103591	AAGAB
HGNC:25662	ENSG00000103591	FLJ11506
HGNC:25662	ENSG00000103591	p34
HGNC:19679	ENSG00000115977	AAK1
HGNC:19679	ENSG00000115977	KIAA1048
HGNC:19679	ENSG00000115977	DKFZp686K16132
HGNC:30205	ENSG00000087884	AAMDC
HGNC:30205	ENSG00000087884	C11orf67
HGNC:30205	ENSG00000087884	PTD015
HGNC:30205	ENSG00000087884	FLJ21035
HGNC:30205	ENSG00000087884	CK067
HGNC:18	ENSG00000127837	AAMP
HGNC:19	ENSG00000129673	AANAT
HGNC:19	ENSG00000129673	SNAT
HGNC:15886	ENSG00000131043	AAR2
HGNC:15886	ENSG00000131043	C20orf4
HGNC:15886	ENSG00000131043	bA234K24.2
HGNC:33842	ENSG00000205002	AARD
HGNC:33842	ENSG00000205002	C8orf85
HGNC:33842	ENSG00000205002	LOC441376
HGNC:20	ENSG00000090861	AARS1
HGNC:20	ENSG00000090861	AARS
HGNC:20	ENSG00000090861	CMT2N
HGNC:20	ENSG00000090861	AlaRS
HGNC:49894	ENSG00000249038	AARS1P1
HGNC:49894	ENSG00000249038	AARSP1
HGNC:21022	ENSG00000124608	AARS2
HGNC:21022	ENSG00000124608	AARSL
HGNC:21022	ENSG00000124608	KIAA1270
HGNC:21022	ENSG00000124608	bA444E17.1
HGNC:28417	ENSG00000266967	AARSD1
HGNC:28417	ENSG00000266967	MGC2744
HGNC:28417	ENSG00000266967	AlaXp
HGNC:54994	ENSG00000234969	AARSD1P1
HGNC:23993	ENSG00000157426	AASDH
HGNC:23993	ENSG00000157426	NRPS998
HGNC:23993	ENSG00000157426	LYS2
HGNC:23993	ENSG00000157426	ACSF4
HGNC:14235	ENSG00000149313	AASDHPPT
HGNC:14235	ENSG00000149313	LYS5
HGNC:14235	ENSG00000149313	CGI-80
HGNC:14235	ENSG00000149313	AASD-PPT
HGNC:14235	ENSG00000149313	ACPS
HGNC:17366	ENSG00000008311	AASS
HGNC:17366	ENSG00000008311	LORSDH
HGNC:17366	ENSG00000008311	LKRSDH
